key	name	types	stats	bst	primary	innates	moves	stat_source	mechanics	sprite_package	sprite_binding
R0684	Liepard — Alternate (Form 1)	Dark/Fairy	64/88/50/88/50/106	446	Limber, Moxie, Serene Grace	Nocturnal, Pixilate, Moxie	15	INHERITED_SPECIES_LIEPARD	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0691	Munna — Alternate (Form 1)	Psychic/Ghost	76/25/45/67/55/24	292	Forewarn, Analytic, Infiltrator	Prism Scales, Cursed Body, Magic Bounce	18	INHERITED_SPECIES_MUNNA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0692	Musharna — Alternate (Form 1)	Psychic/Ghost	116/55/85/107/95/29	487	Forewarn, Analytic, Infiltrator	Prism Scales, Cursed Body, Magic Bounce	19	INHERITED_SPECIES_MUSHARNA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0705	Petilil — Alternate (Form 1)	Grass/Fairy	45/35/50/70/50/30	280	Chlorophyll, Serene Grace, Grassy Surge	Self Sufficient, Pixilate, Grassy Surge	19	INHERITED_SPECIES_PETILIL	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0707	Lilligant — Alternate (Form 1)	Grass/Fairy	70/60/75/110/75/90	480	Chlorophyll, Serene Grace, Grassy Surge	Self Sufficient, Pixilate, Grassy Surge	23	INHERITED_SPECIES_LILLIGANT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0709	Sandile — Alternate (Form 1)	Ground/Water	50/72/35/35/35/65	292	Intimidate, Sand Force, Water Absorb	Solid Rock, Swift Swim, Sand Rush	18	INHERITED_SPECIES_SANDILE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0710	Krokorok — Alternate (Form 1)	Ground/Water	60/82/45/45/45/74	351	Intimidate, Sand Force, Water Absorb	Solid Rock, Swift Swim, Sand Rush	18	INHERITED_SPECIES_KROKOROK	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0712	Krookodile — Alternate (Form 1)	Ground/Water	95/117/80/65/70/92	519	Intimidate, Sand Force, Water Absorb	Solid Rock, Swift Swim, Sand Rush	19	INHERITED_SPECIES_KROOKODILE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0717	Dwebble — Alternate (Form 1)	Bug/Grass	50/65/85/35/35/55	325	Sturdy, Tinted Lens, Chlorophyll	Compound Eyes, Grassy Surge, Tinted Lens	17	INHERITED_SPECIES_DWEBBLE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0718	Crustle — Alternate (Form 1)	Bug/Grass	70/105/125/65/75/45	485	Sturdy, Tinted Lens, Chlorophyll	Compound Eyes, Grassy Surge, Tinted Lens	17	INHERITED_SPECIES_CRUSTLE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0748	Escavalier — Alternate (Form 1)	Bug/Ghost	70/135/105/60/105/20	495	Swarm, Tinted Lens, Infiltrator	Compound Eyes, Cursed Body, Tinted Lens	24	INHERITED_SPECIES_ESCAVALIER	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0749	Accelgor — Alternate (Form 1)	Bug/Electric	80/70/40/100/60/145	495	Hydration, Tinted Lens, Motor Drive	Compound Eyes, Lightning Rod, Tinted Lens	25	INHERITED_SPECIES_ACCELGOR	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0752	Klang — Alternate (Form 1)	Steel/Electric	60/80/95/70/85/50	440	Plus, Clear Body, Motor Drive	Battle Armor, Lightning Rod, Clear Body	16	INHERITED_SPECIES_KLANG	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0753	Klinklang — Alternate (Form 1)	Steel/Electric	60/100/115/70/85/90	520	Plus, Clear Body, Motor Drive	Battle Armor, Lightning Rod, Clear Body	19	INHERITED_SPECIES_KLINKLANG	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0754	Eelektrik — Alternate (Form 1)	Electric/Poison	65/85/70/75/70/40	405	Levitate, Motor Drive, Merciless	Striker, Poison Touch, Lightning Rod	18	INHERITED_SPECIES_EELEKTRIK	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0755	Eelektross — Alternate (Form 1)	Electric/Poison	85/115/80/105/80/50	515	Levitate, Motor Drive, Merciless	Striker, Poison Touch, Lightning Rod	13	INHERITED_SPECIES_EELEKTROSS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0765	Cryogonal — Alternate (Form 1)	Ice/Psychic	80/50/50/95/135/105	515	Levitate, Snow Warning, Analytic	Prism Scales, Magic Bounce, Ice Body	22	INHERITED_SPECIES_CRYOGONAL	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0766	Mienfoo — BlueTowel Alternate form (Form 1)	Fighting/Psychic	45/85/50/55/50/65	350	Inner Focus, Guts, Analytic	Combat Spclst., Magic Bounce, Scrappy	17	INHERITED_SPECIES_MIENFOO	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0768	Mienshao — BlueTowel Alternate form (Form 1)	Fighting/Psychic	65/125/60/95/60/105	510	Inner Focus, Guts, Analytic	Combat Spclst., Magic Bounce, Scrappy	18	INHERITED_SPECIES_MIENSHAO	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0770	Golett — Alternate (Form 1)	Ground/Steel	59/74/50/35/50/35	303	Iron Fist, Sand Force, Clear Body	Solid Rock, Battle Armor, Sand Rush	19	INHERITED_SPECIES_GOLETT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0771	Golurk — Alternate (Form 1)	Ground/Steel	89/124/80/55/80/55	483	Iron Fist, Sand Force, Clear Body	Solid Rock, Battle Armor, Sand Rush	21	INHERITED_SPECIES_GOLURK	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0778	Durant — BlueTowel Alternate form (Form 1)	Bug/Ground	58/109/112/48/48/109	484	Swarm, Tinted Lens, Sand Force	Compound Eyes, Sand Rush, Tinted Lens	19	INHERITED_SPECIES_DURANT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0786	Hydreigon Mega	Dark/Dragon	92/125/110/160/105/108	700	Mega Launcher	Levitate, Predator, Nocturnal	20	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	ER_IDENTITY_RESOLVED	SOURCE_IMPORT_OR_ATLAS_BINDING_PENDING
R0810	Aromatisse — Alternate (Form 1)	Fairy/Poison	101/72/72/99/89/29	462	Healer, Serene Grace, Merciless	Prism Scales, Poison Touch, Pixilate	21	INHERITED_SPECIES_AROMATISSE	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0817	Tyrunt — Alternate (Form 1)	Rock/Ghost	58/89/77/45/45/48	362	Strong Jaw, Solid Rock, Infiltrator	Pressure, Cursed Body, Rock Head	17	INHERITED_SPECIES_TYRUNT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0818	Tyrantrum — Alternate (Form 1)	Rock/Ghost	82/121/119/69/59/71	521	Strong Jaw, Solid Rock, Infiltrator	Battle Armor, Cursed Body, Rock Head	19	INHERITED_SPECIES_TYRANTRUM	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0819	Amaura — Alternate (Form 1)	Rock/Fairy	77/59/50/67/63/46	362	Refrigerate, Solid Rock, Serene Grace	Battle Armor, Pixilate, Rock Head	19	INHERITED_SPECIES_AMAURA	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0820	Aurorus — Alternate (Form 1)	Rock/Fairy	123/77/72/99/92/58	521	Refrigerate, Solid Rock, Serene Grace	Ice Body, Pixilate, Rock Head	19	INHERITED_SPECIES_AURORUS	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0831	Noibat — Alternate (Form 1)	Dragon/Electric	40/30/35/45/40/55	245	Frisk, Dragon's Maw, Motor Drive	Levitate, Lightning Rod, Multiscale	18	INHERITED_SPECIES_NOIBAT	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0833	Noivern — Alternate (Form 1)	Dragon/Electric	85/70/80/97/80/123	535	Frisk, Dragon's Maw, Motor Drive	Levitate, Lightning Rod, Multiscale	21	INHERITED_SPECIES_NOIVERN	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0867	Tsareena Mega	Grass/Fighting	72/150/108/60/108/112	610	Queenly Majesty	Tough Claws, Grassy Surge, Scrappy	15	R7_RECOVERED_EXPLICIT	R8_FILLED_DEFAULT	ER_IDENTITY_RESOLVED	SOURCE_IMPORT_OR_ATLAS_BINDING_PENDING
R0876	Hakamo-o — Alternate (Form 1)	Dragon/Steel	55/75/90/65/70/65	420	Bulletproof, Dragon's Maw, Clear Body	Battle Armor, Multiscale, Dragon's Maw	17	INHERITED_SPECIES_HAKAMO_O	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
R0877	Kommo-o — Alternate (Form 1)	Dragon/Steel	75/110/125/100/105/85	600	Bulletproof, Dragon's Maw, Clear Body	Battle Armor, Multiscale, Dragon's Maw	21	INHERITED_SPECIES_KOMMO_O	R8_FILLED_DEFAULT	STAGED_4_VIEW_IDENTITY_RESOLVED	SOURCE_PACKAGE_BINDING_PENDING
PS0001	Delta Tyrantrum	Dragon/Fighting	82/132/110/45/81/71	521	Crown Breaker	Strong Jaw, Rock Head, Defiant	16	CURRENT_LOCKED_RECORD	OWNER_LOCKED_OR_POSTSEAL	POSTSEAL_MASTER_REQUIRED	APPROVED_VISUAL_IDENTITY__ATLAS_IMPORT_PENDING
PS0002	Mega Houndoom Z	Fire/Dark	75/100/80/145/90/110	600	Toxic Hellfire	Infernal Rage, Wildfire, Strong Jaw	17	CURRENT_LOCKED_RECORD	OWNER_LOCKED_OR_POSTSEAL	POSTSEAL_MASTER_REQUIRED	APPROVED_VISUAL_IDENTITY__ATLAS_IMPORT_PENDING
